,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
71,Belmonte,95,PT,1559452491,72,40.36,-7.35,55.99,0.74
72,Mount Gambier,75,AU,1559452493,87,-37.83,140.78,50.0,18.34
73,Broken Hill,38,AU,1559452494,58,-31.97,141.45,55.4,17.22
74,Thinadhoo,68,MV,1559452496,76,0.53,72.93,85.01,12.1
75,Orshanka,1,RU,1559452497,54,56.92,47.89,63.41,4.7
76,Katherine,54,AU,1559452498,18,-14.47,132.26,82.4,12.75
77,Porto Torres,0,IT,1559452499,93,40.84,8.4,69.01,3.36
78,El Banco,100,CO,1559452501,98,9.0,-73.97,74.21,0.36
79,Broome,82,GB,1559452502,82,52.47,1.45,64.99,8.05
80,Calvinia,93,ZA,1559452503,89,-31.47,19.78,47.93,0.2
81,Port Alfred,33,ZA,1559452505,92,-33.59,26.89,61.0,8.01
82,Beloha,0,MG,1559452506,68,-25.17,45.06,71.51,17.58
83,Laguna,0,MX,1559452507,74,27.52,-110.01,76.73,8.34
84,Victoria,75,BN,1559452502,79,5.28,115.24,89.6,3.36
85,Renqiu,0,CN,1559452510,22,38.71,116.1,94.55,4.56
86,Khatanga,49,RU,1559452511,60,71.98,102.47,52.07,8.48
87,Lubango,0,AO,1559452513,37,-14.92,13.49,69.53,5.35
88,Guaxupe,0,BR,1559452514,86,-21.31,-46.71,64.67,4.68
89,Padang,59,ID,1559452515,73,-0.92,100.36,82.31,1.95
90,Klaksvik,94,FO,1559452517,87,62.23,-6.59,44.6,17.22
91,Vaitape,0,PF,1559452518,69,-16.52,-151.75,81.95,11.27
92,Muros,20,ES,1559452519,67,42.77,-9.06,61.0,5.82
93,Kodiak,1,US,1559452521,48,39.95,-94.76,68.0,3.36
94,Tromso,75,NO,1559452522,80,69.65,18.96,41.0,21.92
95,Thap Than,98,TH,1559452523,50,15.46,99.89,90.59,4.25
96,Saint-Philippe,90,CA,1559452525,82,45.36,-73.48,61.0,3.36
97,Murupara,31,NZ,1559452526,64,-38.46,176.71,55.0,3.0
98,Zeya,67,RU,1559452528,23,53.74,127.27,71.33,2.95
99,Port Macquarie,90,AU,1559452529,82,-31.43,152.91,64.0,4.7
100,Bonthe,100,SL,1559452530,84,7.53,-12.5,79.43,4.7
101,Lujiang,0,CN,1559452532,45,31.26,117.28,87.8,6.71
102,Gari,77,RU,1559452533,64,59.43,62.35,62.87,14.27
103,Rio Grande,0,BR,1559452534,92,-32.03,-52.1,54.05,0.76
104,Rio Gallegos,90,AR,1559452514,93,-51.62,-69.22,42.8,14.99
105,Mopipi,0,BW,1559452537,48,-21.2,24.86,58.37,8.93
106,Chongwe,0,ZM,1559452538,53,-15.33,28.68,60.35,2.48
107,Rosetta,0,EG,1559452540,73,31.4,30.42,75.99,3.36
108,Bethel,75,US,1559452432,58,60.79,-161.76,60.8,4.7
109,Bullas,0,ES,1559452543,50,38.05,-1.67,61.0,0.51
110,Solnechnyy,51,RU,1559452544,48,50.72,136.64,63.95,4.94
111,Jamestown,36,AU,1559452255,58,-33.21,138.6,58.73,11.41
112,Maceio,0,BR,1559452547,94,-9.67,-35.74,71.6,2.24
113,Honningsvag,100,NO,1559452548,85,70.98,25.97,38.21,20.02
114,Goderich,100,CA,1559452549,97,43.74,-81.71,53.01,7.23
115,Ganzhou,97,CN,1559452551,86,25.86,114.93,77.99,4.5
116,Chokurdakh,32,RU,1559452552,71,70.62,147.9,41.45,13.31
117,Airai,43,TL,1559452554,52,-8.93,125.41,86.09,7.54
118,Torbay,90,CA,1559452555,100,47.66,-52.73,43.0,9.17
119,Atuona,38,PF,1559452556,78,-9.8,-139.03,81.77,15.32
120,Yulara,0,AU,1559452447,39,-25.24,130.99,62.6,16.11
121,Sorland,99,NO,1559452559,91,67.67,12.69,43.25,10.22
122,Kaitangata,88,NZ,1559452560,78,-46.28,169.85,45.0,5.01
123,Hithadhoo,85,MV,1559452562,78,-0.6,73.08,84.83,10.42
124,Burnie,100,AU,1559452563,82,-41.05,145.91,54.0,1.01
125,Barrow,65,AR,1559452564,56,-38.31,-60.23,49.55,10.29
126,Culaman,90,PH,1559452566,94,5.96,125.66,78.8,6.93
127,Kavieng,32,PG,1559452567,73,-2.57,150.8,85.37,12.86
128,Pochutla,100,MX,1559452568,94,15.74,-96.47,75.99,1.03
129,Puerto Ayora,32,EC,1559452570,95,-0.74,-90.35,73.0,1.01
130,Salalah,75,OM,1559452571,74,17.01,54.1,86.0,3.36
131,High Level,40,CA,1559452572,100,58.52,-117.13,53.6,5.82
132,Emmett,25,US,1559452295,60,43.87,-116.5,75.2,3.36
133,New Norfolk,75,AU,1559452575,87,-42.78,147.06,52.0,4.7
134,Portland,1,US,1559452378,60,45.52,-122.67,68.0,8.05
135,Sabha,26,LY,1559452577,53,27.03,14.43,75.47,18.57
136,Palana,86,RU,1559452578,93,59.08,159.95,42.71,4.43
137,Hilo,75,US,1559452290,78,19.71,-155.08,75.2,5.82
138,Kapaa,90,US,1559452581,83,22.08,-159.32,82.4,14.99
139,Necochea,68,AR,1559452582,90,-38.55,-58.74,48.0,5.99
140,San Cristobal,40,EC,1559452584,93,-0.39,-78.55,57.2,2.24
141,Kota Kinabalu,75,MY,1559452585,74,5.98,116.07,87.8,3.36
142,Cape Town,20,ZA,1559452318,100,-33.93,18.42,61.0,3.36
143,Hirara,75,JP,1559452588,84,24.8,125.28,86.0,13.87
144,Talnakh,75,RU,1559452589,92,69.49,88.39,30.2,13.42
145,Potiskum,90,NG,1559452590,55,11.71,11.08,84.29,9.95
146,Leshukonskoye,8,RU,1559452591,36,64.9,45.76,59.63,11.77
147,Manokwari,56,ID,1559452593,65,-0.87,134.08,82.13,5.68
148,Carnarvon,50,ZA,1559452594,55,-30.97,22.13,49.37,1.79
149,Misratah,0,LY,1559452305,79,32.38,15.09,65.93,11.41
150,Labuhan,90,ID,1559452597,66,-2.54,115.51,89.33,2.84
151,Dombarovskiy,0,RU,1559452598,36,50.76,59.54,83.93,13.06
152,Port Elizabeth,90,US,1559452599,68,39.31,-74.98,69.8,11.41
153,Ardakan,20,IR,1559452601,31,32.31,54.02,73.4,11.41
154,Biak,96,ID,1559452602,93,-0.91,122.88,70.61,3.02
155,Severo-Kurilsk,100,RU,1559452603,93,50.68,156.12,42.17,7.27
156,Sinalunga,0,IT,1559452605,93,43.21,11.74,63.0,4.7
157,Valparaiso,90,US,1559452458,93,41.47,-87.06,59.0,4.7
158,Kyabe,33,TD,1559452608,52,9.45,18.94,86.27,8.61
159,Nyimba,59,ZM,1559452609,51,-14.56,30.81,66.29,0.34
160,Khani,0,GE,1559452610,83,41.96,42.96,69.8,3.36
161,Saint George,40,GR,1559452612,67,39.45,22.34,73.0,4.7
162,Richards Bay,0,ZA,1559452613,79,-28.77,32.06,66.11,5.99
163,Nikolskoye,75,RU,1559452614,71,59.7,30.79,57.99,8.95
164,Cidreira,67,BR,1559452615,80,-30.17,-50.22,63.23,8.14
165,Narrabri,40,AU,1559452617,63,-30.33,149.78,61.0,5.82
166,Christchurch,98,NZ,1559452378,87,-43.53,172.64,46.0,14.99
167,Port Lincoln,41,AU,1559452619,79,-34.72,135.86,58.37,17.85
168,Mandalgovi,0,MN,1559452621,22,45.76,106.27,62.51,18.23
169,Codrington,90,AU,1559452622,93,-28.95,153.24,66.2,8.05
170,Namibe,0,AO,1559452623,78,-15.19,12.15,68.45,7.45
171,Maniitsoq,71,GL,1559452624,81,65.42,-52.9,36.05,3.78
172,Severo-Yeniseyskiy,92,RU,1559452626,49,60.37,93.04,55.49,7.76
173,Nova Serrana,0,BR,1559452627,90,-19.88,-44.98,63.23,3.4
174,Billund,68,DK,1559452628,100,55.73,9.12,54.0,3.36
175,Tuktoyaktuk,90,CA,1559452630,86,69.44,-133.03,33.8,17.22
176,Nova Olimpia,0,BR,1559452631,82,-14.8,-57.29,69.89,1.48
177,Esperance,20,TT,1559452632,83,10.24,-61.45,79.0,6.93
178,Tual,74,ID,1559452633,80,-5.67,132.75,82.67,18.72
179,Westport,100,IE,1559452635,90,53.8,-9.52,55.99,1.01
180,Mareeba,90,AU,1559452636,69,-16.99,145.42,73.4,17.22
181,Iki-Burul,0,RU,1559452638,37,45.82,44.65,84.2,8.95
182,Ust-Kulom,0,RU,1559452639,33,61.69,53.69,61.07,9.51
183,Kruisfontein,56,ZA,1559452641,93,-34.0,24.73,56.21,6.82
184,Puerto Escondido,98,MX,1559452642,77,15.86,-97.07,79.97,1.39
185,Cabimas,100,VE,1559452644,74,10.39,-71.44,82.67,10.13
186,Grindavik,75,IS,1559452645,86,63.84,-22.43,39.99,9.17
187,Aitape,100,PG,1559452646,70,-3.15,142.36,85.55,12.73
188,Yumen,99,CN,1559452648,9,40.29,97.04,84.65,17.78
189,Kasongo-Lunda,88,CD,1559452649,75,-6.48,16.82,68.45,2.48
190,Tiarei,20,PF,1559452650,69,-17.53,-149.33,82.4,9.17
191,Itarema,98,BR,1559452651,91,-2.92,-39.92,74.21,4.99
192,Santa Maria,1,BR,1559452654,97,-29.69,-53.81,54.41,4.07
193,Nador,40,MA,1559452655,77,35.17,-2.93,66.2,3.36
194,Bathurst,48,AU,1559452656,71,-33.42,149.58,59.0,1.01
195,Fare,0,PF,1559452658,68,-16.7,-151.02,81.41,10.65
196,Yen Bai,7,VN,1559452659,50,21.7,104.87,90.23,3.89
197,Banda Aceh,100,ID,1559452660,68,5.56,95.32,84.47,4.52
198,Mlonggo,20,ID,1559452662,66,-6.53,110.7,86.0,9.17
199,Omboue,88,GA,1559452663,81,-1.57,9.26,77.09,9.64
200,Tres Arroyos,65,AR,1559452664,56,-38.38,-60.28,49.55,10.29
201,Umm Lajj,65,SA,1559452666,69,25.02,37.27,85.73,8.68
202,Khudumelapye,0,BW,1559452667,46,-23.91,24.95,56.57,7.02
203,Nanortalik,19,GL,1559452668,87,60.14,-45.24,35.15,2.37
204,Eggenstein-Leopoldshafen,0,DE,1559452669,87,49.09,8.4,66.0,2.24
205,Point Pleasant,90,US,1559452561,77,40.08,-74.07,70.0,5.82
206,Spring Hill,1,US,1559452672,94,28.46,-82.54,82.0,11.07
207,Banting,75,MY,1559452674,79,2.82,101.5,84.2,2.24
208,Lompoc,90,US,1559452675,87,34.64,-120.46,59.0,5.82
209,Jizan,20,SA,1559452676,70,16.89,42.56,89.6,5.82
210,Ponta do Sol,0,BR,1559452678,94,-20.63,-46.0,60.53,1.66
211,Sept-Iles,20,CA,1559452679,75,50.2,-66.38,41.0,8.05
212,Almaznyy,0,RU,1559452680,73,48.03,40.04,73.4,2.24
213,Semey,75,KZ,1559452682,64,50.41,80.25,68.0,8.95
214,Bitung,40,ID,1559452683,56,1.44,125.19,95.0,6.93
215,Mwinilunga,72,ZM,1559452684,57,-11.73,24.43,57.11,5.86
216,Moron,92,VE,1559452686,86,10.49,-68.2,75.83,1.63
217,Channel-Port aux Basques,74,CA,1559452687,88,47.57,-59.14,44.33,12.71
218,Batagay,0,RU,1559452689,32,67.65,134.64,70.61,9.33
219,Lima,90,PE,1559452690,88,-12.06,-77.04,64.4,9.17
220,Sampang,96,ID,1559452691,63,-7.54,109.46,84.65,10.31
221,Shimoda,75,JP,1559452693,83,34.7,138.93,71.6,5.82
222,Hasaki,75,JP,1559452694,73,35.73,140.83,79.0,8.05
223,Visnes,38,NO,1559452695,87,59.36,5.22,54.0,11.41
224,Saint-Georges,79,CA,1559452697,77,46.12,-70.67,55.99,6.2
225,Harnai,0,PK,1559452698,11,30.1,67.94,96.17,6.49
226,Los Llanos de Aridane,0,ES,1559452699,88,28.66,-17.92,66.2,6.93
227,Ahipara,47,NZ,1559452701,100,-35.17,173.16,55.99,10.65
228,Tolmin,40,IT,1559452702,100,46.18,13.73,69.01,2.24
229,Karatuzskoye,100,RU,1559452704,57,53.61,92.87,52.07,9.35
230,Harper,1,US,1559452705,78,30.3,-99.24,77.0,14.54
231,Samarinda,64,ID,1559452706,82,-0.5,117.14,86.45,1.9
232,Longyearbyen,0,NO,1559452708,69,78.22,15.63,33.8,4.7
233,Honiara,75,SB,1559452709,79,-9.43,159.96,84.2,9.17
234,Suvorovskaya,24,RU,1559452710,53,44.19,42.65,73.4,6.71
235,Otacilio Costa,93,BR,1559452712,99,-27.48,-50.12,57.99,4.29
236,Kabanjahe,100,ID,1559452713,59,3.1,98.49,85.19,2.46
237,Sioux Lookout,20,CA,1559452604,86,50.1,-91.92,42.8,2.73
238,Lumphat,92,KH,1559452715,56,13.5,106.97,96.71,1.95
239,Chuy,0,UY,1559452717,79,-33.69,-53.46,58.73,9.13
240,Cap Malheureux,75,MU,1559452718,78,-19.98,57.61,77.0,10.29
241,Maraa,2,BR,1559452719,92,-1.83,-65.37,74.03,2.59
242,Beya,76,RU,1559452721,66,53.05,90.92,52.79,5.61
243,Bandarbeyla,64,SO,1559452722,58,9.49,50.81,84.65,17.2
244,Souillac,0,FR,1559452723,68,45.6,-0.6,64.99,5.82
245,Alford,97,GB,1559452724,82,53.26,0.18,64.99,11.41
246,Gazojak,1,TM,1559452726,26,41.19,61.4,87.53,15.66
247,Roald,75,NO,1559452727,93,62.58,6.12,45.0,6.93
248,Bridlington,100,GB,1559452728,82,54.08,-0.19,64.0,11.41
249,Pitimbu,20,BR,1559452730,100,-7.47,-34.81,73.4,4.7
250,Hualmay,100,PE,1559452731,94,-11.1,-77.61,61.79,19.46
251,Pacific Grove,90,US,1559452732,93,36.62,-121.92,59.0,4.7
252,Saint-Augustin,0,FR,1559452734,77,44.83,-0.61,64.99,4.7
253,Fortuna,0,ES,1559452735,39,38.18,-1.13,62.6,2.24
254,Horki,75,BY,1559452737,87,54.29,30.98,60.8,5.01
255,San Quintin,95,PH,1559452738,53,17.54,120.52,94.37,9.31
256,Baykit,88,RU,1559452742,46,61.68,96.39,52.43,10.76
257,Grenaa,12,DK,1559452744,87,56.42,10.88,53.6,4.7
258,Gidam,79,IN,1559452745,30,18.98,81.4,104.77,6.69
259,Deniliquin,26,AU,1559452746,73,-35.53,144.96,54.0,8.99
260,Buala,98,SB,1559452748,79,-8.15,159.59,83.17,13.82
261,Chapais,90,CA,1559452749,80,49.78,-74.86,41.0,8.05
262,Rexburg,1,US,1559452750,58,43.82,-111.79,59.0,5.68
263,Khasan,100,RU,1559452752,56,42.43,130.64,70.75,7.02
264,Vila Velha,20,BR,1559452753,83,-3.71,-38.6,86.0,5.82
265,Mazamari,100,PE,1559452754,98,-11.33,-74.53,33.49,1.5
266,Sao Paulo de Olivenca,20,BR,1559452756,97,-3.38,-68.87,73.45,1.61
267,Samana,100,EC,1559452757,98,0.12,-76.97,68.95,2.62
268,Kaputa,2,ZM,1559452759,60,-8.47,29.66,66.43,2.51
269,Cabo San Lucas,5,MX,1559452761,73,22.89,-109.91,75.99,4.7
270,Virginia Beach,1,US,1559452762,88,36.85,-75.98,70.0,4.7
271,Maturin,79,VE,1559452763,97,9.75,-63.18,70.21,1.63
272,Troitsko-Pechorsk,0,RU,1559452765,34,62.71,56.19,60.49,11.36
273,Flinders,60,AU,1559452766,45,-34.58,150.85,66.99,8.05
274,Deputatskiy,2,RU,1559452767,56,69.3,139.9,56.71,8.68
275,Comodoro Rivadavia,0,AR,1559452769,81,-45.87,-67.48,44.6,1.12
276,Hanna,87,CA,1559452770,59,51.64,-111.93,64.0,1.99
277,Marawi,99,PH,1559452771,87,8.0,124.29,82.99,3.0
278,Margate,75,AU,1559452772,87,-43.03,147.26,50.0,4.7
279,Pangnirtung,80,CA,1559452774,64,66.15,-65.72,37.09,0.2
280,Faya,0,SA,1559452775,87,18.39,42.45,60.8,5.68
281,Chudovo,91,RU,1559452776,78,59.12,31.67,57.07,10.56
282,Okato,1,NZ,1559452778,68,-39.19,173.88,50.0,1.01
283,Praia,0,BR,1559452779,93,-20.25,-43.81,60.8,1.7
284,Dudinka,75,RU,1559452780,92,69.41,86.18,30.2,13.42
285,Dingle,86,PH,1559452782,43,11.0,122.67,95.95,12.66
286,Sungairaya,80,ID,1559452783,69,0.7,108.9,84.79,4.45
287,Nome,1,US,1559452784,100,30.04,-94.42,82.99,1.7
288,Lebu,95,ET,1559452785,79,8.96,38.73,59.59,4.38
289,Bambous Virieux,75,MU,1559452787,78,-20.34,57.76,77.0,10.29
290,Atar,6,MR,1559452788,21,20.52,-13.05,85.69,9.01
291,Guerrero Negro,0,MX,1559452790,79,27.97,-114.04,64.27,10.56
292,Kiruna,41,SE,1559452791,51,67.86,20.23,41.0,4.7
293,Yangshe,87,CN,1559452792,33,31.89,120.61,88.0,3.0
294,Tuatapere,97,NZ,1559452793,82,-46.13,167.69,46.99,14.23
295,Neiafu,20,TO,1559452795,78,-18.65,-173.98,77.0,2.33
296,Kalabo,0,ZM,1559452796,45,-15.0,22.67,57.97,3.29
297,Beidao,94,CN,1559452797,21,34.57,105.89,77.59,3.4
298,Les Cayes,17,HT,1559452748,77,18.19,-73.75,81.55,13.78
299,Ishinomaki,75,JP,1559452652,72,38.42,141.3,68.0,8.05
300,Samarai,54,PG,1559452801,78,-10.62,150.67,78.67,6.89
301,Zhuhai,40,CN,1559452802,18,40.71,112.04,80.6,11.18
302,Xining,30,CN,1559452804,27,36.62,101.77,69.01,6.91
303,Leningradskiy,2,RU,1559452805,93,69.38,178.42,32.23,9.78
304,Little Current,1,CA,1559452576,81,45.98,-81.93,46.4,2.24
305,Adrar,0,DZ,1559452808,26,27.87,-0.29,71.6,13.87
306,Iberia,0,PE,1559452809,94,-11.41,-69.49,72.19,2.28
307,Taicheng,90,CN,1559452810,80,22.25,112.8,86.0,8.03
308,Camacha,0,PT,1559452812,93,33.08,-16.33,73.4,9.17
309,Mets Masrik,30,AM,1559452813,58,40.22,45.77,62.47,4.34
310,Kindersley,90,CA,1559452814,34,51.47,-109.16,66.2,16.11
311,Yar-Sale,87,RU,1559452816,99,66.83,70.83,34.03,12.66
312,Ketchikan,90,US,1559452808,62,55.34,-131.65,55.4,12.75
313,Horta,0,ES,1559452818,72,41.43,2.16,68.0,2.24
314,Hamilton,75,CA,1559452551,93,43.26,-79.87,62.01,10.29
315,Devonport,100,AU,1559452821,82,-41.18,146.36,54.0,1.99
316,Noumea,75,NC,1559452822,60,-22.28,166.46,73.4,10.29
317,Tucuman,20,PE,1559452824,58,-17.17,-70.89,51.49,1.74
318,Mentakab,98,MY,1559452825,45,3.49,102.35,93.79,2.77
319,Dunedin,97,NZ,1559452729,75,-45.87,170.5,46.99,15.99
320,Crestview,1,US,1559452567,88,30.76,-86.57,80.6,3.06
321,San Juan,20,PR,1559452830,78,18.47,-66.12,78.8,4.7
322,Kavaratti,40,IN,1559452831,74,10.57,72.64,87.8,0.96
323,Sola,90,FI,1559452833,100,62.78,29.36,51.01,4.7
324,Mayumba,41,GA,1559452834,82,-3.44,10.65,75.61,10.04
325,Thaba Nchu,0,ZA,1559452836,47,-29.2,26.83,35.6,2.24
326,Kuching,75,MY,1559452837,70,1.56,110.34,89.6,3.36
327,Abeche,82,TD,1559452838,27,13.83,20.83,91.63,4.14
328,Seoul,1,KR,1559452840,28,37.57,126.98,82.4,5.82
329,Lisakovsk,0,KZ,1559452841,40,52.55,62.49,82.09,14.97
330,Antofagasta,20,CL,1559452842,76,-23.65,-70.4,57.2,8.05
331,Berberati,54,CF,1559452843,94,4.26,15.79,69.85,4.94
332,Bintulu,40,MY,1559452845,83,3.17,113.03,82.4,3.36
333,Mago,91,RU,1559452846,88,53.27,140.15,42.13,1.21
334,Mildura,90,AU,1559452847,62,-34.18,142.16,57.99,11.41
335,Tottori,0,JP,1559452849,44,35.5,134.23,78.8,12.75
336,Vao,99,EE,1559452850,93,59.1,26.19,53.29,10.6
337,Mengyin,0,CN,1559452852,22,35.71,117.93,95.41,15.95
338,Zhigansk,48,RU,1559452853,39,66.77,123.37,65.71,6.49
339,Tynda,35,RU,1559452854,35,55.15,124.74,63.55,4.27
340,Alugan,21,PH,1559452855,62,12.22,125.48,90.55,7.83
341,Robertsport,100,LR,1559452857,89,6.75,-11.37,76.69,0.89
342,Sitka,100,US,1559452858,97,37.17,-99.65,63.0,4.0
343,Jaypur,75,IN,1559452859,63,23.05,87.44,91.4,8.05
344,Mogadishu,40,SO,1559452861,66,2.04,45.34,84.2,12.75
345,Puerto Baquerizo Moreno,23,EC,1559452862,87,-0.9,-89.6,75.07,11.34
346,Amurzet,77,CN,1559452863,81,47.69,131.09,64.63,4.65
347,Koumra,48,TD,1559452865,58,8.92,17.55,82.99,7.63
348,Inhambane,20,MZ,1559452866,88,-23.87,35.38,66.2,4.25
349,Svetlopolyansk,0,RU,1559452867,40,59.42,52.36,61.57,7.83
350,Ambilobe,46,MG,1559452869,65,-13.19,49.05,79.93,6.31
351,Abu Dhabi,5,AE,1559452870,24,24.47,54.37,89.6,4.7
352,Gunnedah,90,AU,1559452871,59,-30.98,150.25,64.4,9.17
353,Byron Bay,75,AU,1559452872,60,-28.65,153.62,71.01,4.7
354,Safita,40,SY,1559452874,72,34.82,36.12,77.0,5.82
355,Dikson,89,RU,1559452875,94,73.51,80.55,32.05,8.03
356,La Orilla,98,MX,1559452876,85,18.0,-102.23,77.41,2.04
357,Whitecourt,40,CA,1559452642,59,54.14,-115.68,64.4,4.7
358,Gimli,0,CA,1559452879,68,50.63,-96.99,41.0,3.0
359,Pevek,0,RU,1559452880,84,69.7,170.27,35.11,13.73
360,Lagoa,0,PT,1559452882,42,37.14,-8.45,69.01,8.05
361,Tevaitoa,0,PF,1559452883,69,-16.78,-151.5,81.37,11.01
362,Udachnyy,20,RU,1559452885,22,66.42,112.4,66.2,8.95
363,Pilar,9,AR,1559452886,100,-34.46,-58.91,57.2,4.25
364,Touros,20,BR,1559452887,94,-5.2,-35.46,75.2,3.36
365,Marsa Matruh,0,EG,1559452887,88,31.35,27.25,66.2,3.36
366,Kaeo,52,NZ,1559452890,83,-35.1,173.78,55.99,1.01
367,Strezhevoy,75,RU,1559452891,53,60.73,77.6,50.0,4.47
368,Quatre Cocos,75,MU,1559452892,78,-20.21,57.76,77.0,10.29
369,Rock Sound,1,BS,1559452894,82,24.9,-76.2,80.47,11.92
370,Luderitz,0,NA,1559452895,100,-26.65,15.16,46.4,8.05
371,San Luis,25,AR,1559452768,40,-33.3,-66.34,52.57,7.47
372,Fort William,100,GB,1559452899,96,56.82,-5.11,53.01,5.32
373,Chute-aux-Outardes,90,CA,1559452900,81,49.12,-68.38,46.99,4.7
374,Vestmannaeyjar,98,IS,1559452901,78,63.44,-20.27,41.41,0.6
